0,100,200,200,50,0,0,0
0,300,400,10,50,0,0,0
0,0,300,40,50,0,0,0
0,25,425,100,50,0,0,0
0,300,0,40,30,0,0,0
0,0,475,1000,25,0,0,0
0,800,400,340,25,0,0,0
0,700,325,220,14,0,0,0
0,500,250,100,15,0,0,0
0,340,425,25,50,0,0,0
0,350,200,200,50,0,0,0
1,50,300,200,25,1,1,700
1,10,20,50,20,2,0.5,300
1,550,-10,50,20,2,0.5,200
1,380,0,30,15,1,0.5,500
2,20,20,1,0,0,0,0
2,200,100,4,0,0,0,0
2,400,170,10,0,0,0,0
2,300,270,1,0,0,0,0
2,340,270,1,0,0,0,0
2,360,270,1,0,0,0,0
2,500,400,12,0,0,0,0
2,315,-20,10,0,0,0,0
2,1180,300,50,0,0,0,0
